lambda,template_width,mean_radius_abs_error,median_radius_abs_error,mean_alpha_abs_error,mean_confidence,score
63.09573444801933,4.0,0.23965722661332148,0.20815128874009048,0.19011580870807482,0.8062299051760006,0.1970573978373364
9.99999999999999,4.0,0.23965722661332148,0.20815128874009048,0.20045983860210217,0.7653351650794199,0.2032156778257999
1.5848931924611125,4.0,0.23965722661332148,0.20815128874009048,0.21438600405223127,0.7362610174166189,0.20890832568210582
0.25118864315095796,4.0,0.23965722661332148,0.20815128874009048,0.22044950614839437,0.7257761967386297,0.2111695081691374
0.03981071705534971,4.0,0.23965722661332148,0.20815128874009048,0.2216149561484519,0.7235629788629269,0.21162391995671917
0.00630957344480193,4.0,0.23965722661332148,0.20815128874009048,0.22180565878164057,0.7231898722951658,0.21169937114013304
0.001,4.0,0.23965722661332148,0.20815128874009048,0.22183604132440676,0.7231301157535006,0.21171142330285275
63.09573444801933,3.0,0.23182283499974213,0.20815128874009048,0.3770350129933437,0.78229242972612,0.22900059462579886
9.99999999999999,3.0,0.23099680455839955,0.20815128874009048,0.45321581924578547,0.7369006166004205,0.2479499067475146
1.5848931924611125,3.0,0.2524859567626611,0.22196153245411665,0.49400507048065123,0.7030682381662517,0.2809801470421662
0.25118864315095796,3.0,0.2524859567626611,0.22196153245411665,0.5077817444603798,0.6908415500960436,0.28495815064513275
0.03981071705534971,3.0,0.2524859567626611,0.22196153245411665,0.5105028774402623,0.688278685064197,0.2857586637442939
0.00630957344480193,3.0,0.2524859567626611,0.22196153245411665,0.5109509444974581,0.6878477206279562,0.2858913735993571
0.001,3.0,0.2524859567626611,0.22196153245411665,0.5110224090815759,0.6877787298793526,0.28591256559104106
63.09573444801933,2.0,0.2583042326191958,0.22196153245411665,0.573847795426976,0.67075958825051,0.30599783287953997
9.99999999999999,2.0,0.28896662590398325,0.23856947351848845,0.7269536432469733,0.6004759735116185,0.37430975720221604
1.5848931924611125,2.0,0.3222999592373166,0.23856947351848845,0.812464753100826,0.544588791958859,0.4303340306615959
0.25118864315095796,2.0,0.363248949157555,0.25466918817946294,0.8390189996082777,0.5233306899222986,0.4787196800869806
0.03981071705534971,2.0,0.363248949157555,0.25466918817946294,0.8443949041019803,0.5187776547023719,0.4802501645077139
0.00630957344480193,2.0,0.363248949157555,0.25466918817946294,0.8452913474050845,0.5180073002702907,0.4805064886115428
0.001,2.0,0.363248949157555,0.25466918817946294,0.8454346520782804,0.5178838477016996,0.4805474948030412
